"type","municipality",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Indvandrere","Jammerbugt",1107,1183,1245,1311,1395,1462,1578,1745,1930,2034
"Indvandrere","Læsø",63,67,72,71,70,74,77,81,100,99
"Indvandrere","Mariagerfjord",1579,1685,1725,1809,1810,1882,2053,2279,2471,2552
"Indvandrere","Morsø",636,667,698,717,736,728,751,833,986,1028
"Indvandrere","Rebild",885,908,980,1026,1057,1121,1125,1210,1361,1443
"Indvandrere","Thisted",1908,2006,2123,2210,2304,2384,2509,2755,2961,2997
"Indvandrere","Vesthimmerlands",1648,1659,1658,1720,1808,1981,2192,2443,2593,2744
"Indvandrere","Aalborg",11360,11696,12249,13020,13503,14351,15049,16174,17373,17722
"Efterkommere","København",27061,27947,28678,29604,30478,31475,32267,33210,34332,35316
"Efterkommere","Frederiksberg",2737,2820,2963,3059,3179,3341,3434,3557,3608,3671
"Efterkommere","Dragør",102,113,122,130,148,161,167,162,178,170
"Efterkommere","Tårnby",902,944,982,1039,1087,1146,1201,1241,1323,1372
"Efterkommere","Albertslund",2518,2588,2630,2682,2720,2754,2819,2891,2933,2976
"Efterkommere","Ballerup",1723,1805,1897,1990,2062,2184,2274,2306,2367,2431
"Efterkommere","Brøndby",2961,3069,3176,3323,3460,3608,3858,3995,4083,4290
"Efterkommere","Gentofte",908,969,1024,1083,1145,1262,1338,1447,1526,1587
"Efterkommere","Gladsaxe",2200,2355,2544,2734,2915,3079,3230,3378,3580,3794
"Efterkommere","Glostrup",753,811,859,916,974,1040,1124,1171,1241,1308
"Efterkommere","Herlev",1253,1295,1324,1348,1393,1459,1621,1703,1758,1788
"Efterkommere","Hvidovre",2269,2375,2433,2519,2649,2782,2897,3047,3135,3229
"Efterkommere","Høje-Taastrup",3333,3454,3571,3745,3917,4081,4234,4444,4670,4813
"Efterkommere","Ishøj",2626,2700,2780,2866,2977,3029,3157,3262,3397,3541
"Efterkommere","Lyngby-Taarbæk",813,870,921,962,1003,1082,1118,1199,1269,1315
"Efterkommere","Rødovre",1522,1627,1673,1773,1870,1911,1999,2098,2185,2315
"Efterkommere","Vallensbæk",593,704,836,871,925,1001,1042,1100,1198,1331
"Efterkommere","Allerød",289,301,318,311,325,342,362,382,421,453
"Efterkommere","Egedal",493,555,617,652,665,704,745,788,828,882
"Efterkommere","Fredensborg",1379,1398,1441,1480,1511,1557,1613,1676,1749,1827
"Efterkommere","Frederikssund",609,628,632,654,672,694,717,754,762,787
"Efterkommere","Furesø",1106,1155,1196,1195,1172,1195,1235,1337,1399,1478
"Efterkommere","Gribskov",294,303,306,306,330,357,394,413,453,480
"Efterkommere","Halsnæs",609,626,631,617,616,607,614,627,643,644
"Efterkommere","Helsingør",1861,1911,1945,1983,2025,2072,2085,2152,2192,2243
"Efterkommere","Hillerød",987,1026,1050,1092,1137,1176,1226,1312,1360,1460
"Efterkommere","Hørsholm",286,286,311,323,342,363,385,387,409,436
"Efterkommere","Rudersdal",907,924,932,965,1006,1045,1098,1134,1200,1239
"Efterkommere","Bornholm",179,197,200,221,230,232,245,265,276,300
"Efterkommere","Christiansø",1,1,1,1,1,1,3,4,3,1
"Efterkommere","Greve",1465,1531,1569,1604,1637,1689,1780,1898,1965,2082
"Efterkommere","Køge",1508,1540,1559,1600,1651,1685,1741,1812,1878,1923
"Efterkommere","Lejre",182,181,182,183,206,216,224,259,305,321
"Efterkommere","Roskilde",1625,1673,1734,1814,1937,1953,2000,2029,2058,2119
"Efterkommere","Solrød",207,203,205,228,249,258,280,309,340,370
"Efterkommere","Faxe",202,220,232,252,276,310,306,337,349,399
"Efterkommere","Guldborgsund",602,627,622,639,665,706,741,777,831,923
"Efterkommere","Holbæk",1288,1309,1338,1360,1360,1399,1448,1528,1591,1670
"Efterkommere","Kalundborg",518,523,535,544,564,594,616,649,694,768
"Efterkommere","Lolland",559,559,565,584,588,608,632,687,699,747
"Efterkommere","Næstved",1081,1094,1124,1139,1204,1238,1279,1349,1419,1506
"Efterkommere","Odsherred",198,212,209,227,221,217,239,254,286,328
"Efterkommere","Ringsted",936,955,992,1013,1049,1105,1134,1193,1232,1267
"Efterkommere","Slagelse",2001,2064,2104,2146,2197,2259,2310,2426,2586,2686
"Efterkommere","Sorø",282,268,241,245,242,236,232,253,274,303
"Efterkommere","Stevns",95,104,114,130,120,132,147,178,187,210
"Efterkommere","Vordingborg",314,327,336,339,348,349,360,381,441,471
"Efterkommere","Assens",166,171,170,183,182,203,213,244,290,341
"Efterkommere","Faaborg-Midtfyn",300,302,328,352,365,379,422,460,487,537
"Efterkommere","Kerteminde",128,150,156,166,178,201,227,249,278,322
"Efterkommere","Langeland",53,56,54,52,61,59,64,71,86,101
"Efterkommere","Middelfart",287,296,310,329,327,344,369,373,395,437
"Efterkommere","Nordfyns",99,108,120,129,140,154,160,182,203,232
"Efterkommere","Nyborg",350,393,401,417,435,446,484,508,531,581
"Efterkommere","Odense",6732,6909,7178,7403,7644,7929,8269,8550,8827,9144
"Efterkommere","Svendborg",805,837,863,877,901,932,938,968,1005,1051
"Efterkommere","Ærø",21,20,24,25,30,32,36,37,36,42
"Efterkommere","Billund",323,325,313,338,372,368,386,405,443,493
"Efterkommere","Esbjerg",1939,2020,2084,2164,2238,2306,2363,2477,2590,2669
"Efterkommere","Fanø",11,12,12,15,16,22,22,23,25,26
"Efterkommere","Fredericia",936,973,1016,1077,1146,1227,1279,1351,1403,1458
"Efterkommere","Haderslev",718,774,777,837,869,894,923,995,1047,1123
"Efterkommere","Kolding",1485,1574,1656,1760,1899,1977,2101,2236,2374,2499
"Efterkommere","Sønderborg",1389,1445,1501,1562,1620,1714,1750,1813,1899,1989
"Efterkommere","Tønder",344,363,368,399,415,437,439,461,491,542
"Efterkommere","Varde",466,472,508,549,581,598,650,688,724,789
"Efterkommere","Vejen",350,386,398,409,455,472,512,557,605,668
"Efterkommere","Vejle",1746,1858,2016,2142,2233,2396,2568,2722,2889,3066
"Efterkommere","Aabenraa",917,951,1001,1039,1082,1139,1189,1225,1271,1338
"Efterkommere","Favrskov",212,224,247,263,283,306,354,398,455,516
"Efterkommere","Hedensted",242,271,279,321,356,368,413,433,445,500
"Efterkommere","Horsens",1416,1495,1594,1702,1772,1859,1967,2050,2140,2273
"Efterkommere","Norddjurs",261,263,274,292,298,320,335,355,365,409
"Efterkommere","Odder",182,187,202,200,199,199,209,262,279,288
"Efterkommere","Randers",1021,1072,1139,1198,1274,1334,1412,1503,1605,1758
"Efterkommere","Samsø",17,20,24,23,28,31,33,34,37,43
"Efterkommere","Silkeborg",925,964,1000,1062,1079,1123,1153,1181,1275,1364
"Efterkommere","Skanderborg",382,413,443,465,480,503,542,550,623,703
"Efterkommere","Syddjurs",248,251,269,291,307,324,337,380,402,425
"Efterkommere","Aarhus",11140,11618,12048,12561,13043,13541,13952,14467,14955,15522
"Efterkommere","Herning",1311,1374,1413,1467,1535,1595,1661,1745,1862,2011
"Efterkommere","Holstebro",783,809,837,867,925,957,983,1002,1029,1123
"Efterkommere","Ikast-Brande",693,725,743,780,780,826,868,884,937,971
"Efterkommere","Lemvig",64,74,89,94,113,136,147,158,160,185
"Efterkommere","Ringkøbing-Skjern",456,466,464,505,564,588,609,669,729,831
"Efterkommere","Skive",411,424,429,426,425,439,438,445,475,539
"Efterkommere","Struer",251,258,267,287,292,292,314,321,343,365
"Efterkommere","Viborg",829,860,909,951,1058,1114,1148,1232,1300,1395
"Efterkommere","Brønderslev",208,223,222,222,228,260,269,301,327,370
"Efterkommere","Frederikshavn",396,431,419,420,436,458,495,518,551,596
"Efterkommere","Hjørring",549,567,594,626,673,701,748,774,846,918
"Efterkommere","Jammerbugt",162,150,157,172,188,189,198,216,227,277
"Efterkommere","Læsø",2,2,3,3,3,3,4,5,8,9
"Efterkommere","Mariagerfjord",336,343,355,368,374,402,425,446,472,509
"Efterkommere","Morsø",106,127,133,146,145,143,138,137,152,166
"Efterkommere","Rebild",103,111,112,118,133,138,145,161,177,212
"Efterkommere","Thisted",236,247,259,289,307,349,372,393,447,490
"Efterkommere","Vesthimmerlands",272,256,267,276,300,333,358,388,419,479
"Efterkommere","Aalborg",2728,2915,2981,3125,3316,3519,3778,4045,4345,4611
