"region",2008,2009,2010,2011,2012,2013,2014,2015,2016
"Hele landet",290.37,287.48,297.13,300.53,306.31,310.66,315.86,325.03,328.81
"Region Hovedstaden",314.23,311.85,322.95,325.57,331.83,336.29,344.01,356.57,360.19
"Region Sjælland",288.85,288.02,295.33,298.66,304.88,308.80,313.51,320.58,324.39
"Region Syddanmark",277.67,272.71,283.14,286.30,291.42,294.96,299.11,305.92,309.70
"Region Midtjylland",281.45,278.08,286.52,290.11,294.88,299.81,303.64,312.61,315.97
"Region Nordjylland",268.47,265.93,274.39,279.65,286.04,290.24,292.69,298.54,303.03
